_timestamp,loss,difficulty,reward_component/docking,_step,_runtime,samples/episode_outcomes,action_type/ADD_FRAGMENT,verifier/lipinski_pass_rate,reward_std,verifier/truncation_rate,episode/diversity_unique_pct,kl,min_reward,reward_component/sa,parse_rate,policy_loss,mean_reward,max_reward,step,episode/mean_length,verifier/invalid_action_rate,invalid_action_rate,verifier/parse_rate,reward_component/qed,grad_norm,n_transitions,reward_component/toxicity_clean
1777187636.7321463,0.029756069369614124,trivial,0.0047154073740179134,0,24.46424758,,80.0,0.75,1.2465214263913917,1.0,0.75,0.7439012080430984,2.872020447088789,0.909625510415006,0.0,2.4400651454925536e-08,4.996946628815355,6.1901359782506455,0,10.0,0.0,0.0,0.0,0.5117666980351563,0.2177734375,80.0,1.0
1777187637.4792182,,,,1,25.210635114,"{'artifact_path': 'wandb-client-artifact://b6tvbqzajvjrhu7djl11k64hh8h73eegawk9z8vzryvb2j5i43dw7vb44qvgopn0o4son4cmvtvhizgws5bxv2yj2q130lfrgj6tqkmkj2kho41ixythhrcn9difyvft/samples/episode_outcomes.table.json', '_latest_artifact_path': 'wandb-client-artifact://0xqxss1zqqcsenftqlttrol0wgv1qbj1y4ktpkc66vbpasb0dy9gbb85fh30i085bxbpjm7yuay4vgsugqc5s3ekldgsrqlqumotczey2lcoo251c7cvpf1fqdjozwqc:latest/samples/episode_outcomes.table.json', 'ncols': 8, 'path': 'media/table/samples/episode_outcomes_1_fe719b18b4c8f9696a13.table.json', '_type': 'table-file', 'nrows': 8, 'sha256': 'fe719b18b4c8f9696a13d664cfe19eb859727da8fa6f216eaf614464266692cb', 'log_mode': 'IMMUTABLE', 'size': 800}",,,,,,,,,,,,,0,,,,,,,,
1777187659.4746344,0.03218579161912203,trivial,0.0053852456500780585,2,47.206581806,,80.0,0.5,2.2281314407427266,1.0,0.875,0.8046449400484562,-0.9999999999999999,0.8167142425918873,0.0,-1.1548399925231934e-08,3.343331674528363,6.147483591005134,1,10.0,0.125,0.125,0.0,0.4196021884345857,0.43359375,80.0,0.875
1777187681.8616564,0.029526256024837494,trivial,0.004167341217374744,3,69.593699347,,80.0,0.375,1.4361502979338068,1.0,0.625,0.7381565809249878,2.872020447088789,0.8712194103068313,0.0,-5.960464477539063e-09,3.9880286473800224,6.147483591005134,2,10.0,0.0,0.0,0.0,0.5038471906338536,0.6015625,80.0,1.0
1777187704.2038,0.02985007669776678,trivial,0.0034641272404179455,4,91.935819073,,80.0,0.375,2.022809649823417,1.0,0.625,0.7462522905319929,-0.9999999999999999,0.8014645221112153,0.0,-2.048909664154053e-09,3.1539763063347546,6.147483591005134,3,10.0,0.125,0.125,0.0,0.43973500448212893,0.52734375,80.0,0.875
1777187726.3281844,0.0287005215883255,trivial,0.004261554504786243,5,114.060174413,,80.0,0.75,2.923204195486304,1.0,0.75,0.7175133470445871,-0.9999999999999999,0.5718679521971117,0.0,-8.102506399154662e-09,2.3938586141513882,5.8836072300661595,4,10.0,0.375,0.375,0.0,0.300117029480289,0.50390625,80.0,0.625
1777187748.655199,0.027191709354519845,trivial,0.004334261029566023,6,136.387170072,,80.0,0.875,2.37107957109141,1.0,0.75,0.6797937657684088,-0.9999999999999999,0.77523570950212,0.0,-3.650784492492676e-08,4.571932990656908,6.149711264294099,5,10.0,0.125,0.125,0.0,0.45680937241727904,0.75,80.0,0.875
1777187770.9859707,0.026874169986695052,trivial,0.004725641972758882,7,158.718127978,,80.0,0.875,1.029145177810955,1.0,0.875,0.671854892000556,2.8937423652008736,0.902495920403645,0.0,-2.6822090148925782e-08,5.478952042225664,6.1901359782506455,6,10.0,0.0,0.0,0.0,0.5290669837875774,0.326171875,80.0,1.0
1777187793.4726267,0.025631664879620077,trivial,0.003963227616606002,8,181.204594349,,80.0,1.0,2.2428978085072253,1.0,0.75,0.6407914981245995,-0.9999999999999999,0.7589997406262781,0.0,-2.048909664154053e-09,4.882310372718178,6.1901359782506455,7,10.0,0.125,0.125,0.0,0.45698103727181777,0.50390625,80.0,0.875
1777187816.3651402,0.025442830100655556,trivial,0.005310010199713129,9,204.097142765,,80.0,0.875,2.4574257753673168,1.0,0.75,0.6360713317990303,-0.9999999999999999,0.798870080662084,0.0,-1.4901161193847656e-08,4.568968895504991,6.149711264294099,8,10.0,0.125,0.125,0.0,0.4489562780506384,0.46484375,80.0,0.875
1777187839.1952362,0.02453295886516571,trivial,0.007044784303797016,10,226.927202912,,80.0,0.375,1.6413616545633083,1.0,0.625,0.613323999196291,2.064751080011144,0.9334604985592686,0.0,7.450580596923829e-10,3.804340718755352,6.147483591005134,9,10.0,0.0,0.0,0.0,0.47056818757084656,0.38671875,80.0,1.0
1777187862.0946279,0.02463008277118206,trivial,0.005333026315935318,11,249.82666245,,80.0,0.5,2.2179801222548523,1.0,0.875,0.6157528672367334,-0.9999999999999999,0.8168078589968615,0.0,-3.3527612686157227e-08,3.33458358177322,6.147483591005134,10,10.0,0.125,0.125,0.0,0.4187273791590714,0.310546875,80.0,0.875
1777187885.2829463,0.02314220629632473,trivial,0.0037368284631471567,12,273.014920155,,80.0,0.875,2.3825902290939127,1.0,1.0,0.5785547859966755,-0.9999999999999999,0.7927187713221067,0.0,1.1548399925231934e-08,4.680291069437342,6.1901359782506455,11,10.0,0.125,0.125,0.0,0.46795088650874506,0.384765625,80.0,0.875
1777187907.8677988,0.024715030286461114,trivial,0.004235504587817509,13,295.599922622,,80.0,0.875,0.9732866900612707,1.0,0.75,0.6178764440119267,2.872020447088789,0.8942682543758985,0.0,-2.1886080503463745e-08,5.313465727468502,6.1901359782506455,12,10.0,0.0,0.0,0.0,0.5122468283354601,0.341796875,80.0,1.0
1777187930.2409005,0.025844956934452056,trivial,0.005438940096867705,14,317.97279564,,80.0,0.875,2.9470434589557124,1.0,0.75,0.646124167367816,-0.9999999999999999,0.6797107545317682,0.0,-8.940696716308593e-09,3.645891456915581,6.149711264294099,13,10.0,0.25,0.25,0.0,0.3753985341916974,0.46875,80.0,0.75
1777187952.9190931,0.02710416167974472,trivial,0.005251363023518117,15,340.650975226,,80.0,0.625,2.289935901565197,1.0,0.625,0.6776032973080873,-0.9999999999999999,0.8074199045663377,0.0,3.091990947723389e-08,3.674590455095947,6.1901359782506455,14,10.0,0.125,0.125,0.0,0.4288072655643594,0.51171875,80.0,0.875
1777187976.434025,0.026608490198850632,trivial,0.005050873478006172,16,364.166002085,,80.0,0.625,1.5505082524707992,1.0,0.75,0.665212107077241,2.5692858681270585,0.902896672389297,0.0,1.0430812835693359e-08,4.658743610010342,6.147483591005134,15,10.0,0.0,0.0,0.0,0.5085067632928206,0.3671875,80.0,1.0
1777187999.64847,0.024217771738767623,trivial,0.0061868277403163315,17,387.380442168,,80.0,0.625,1.6467174005072438,1.0,0.625,0.6054447889328003,2.064751080011144,0.926201751597385,0.0,-2.0116567611694337e-08,4.712022404374539,6.149711264294099,16,10.0,0.0,0.0,0.0,0.5068551880676151,0.50390625,80.0,1.0
1777188022.9728446,0.022992775589227677,trivial,0.0034579327076391044,18,410.704806406,,80.0,0.75,2.29281846885484,1.0,0.75,0.5748187605291605,-0.9999999999999999,0.7905257943618835,0.0,2.9802322387695312e-08,4.1407121960245785,6.149711264294099,17,10.0,0.125,0.125,0.0,0.44516477873247967,0.337890625,80.0,0.875
1777188047.42913,0.022144002467393877,trivial,0.004618891712408479,19,435.161010124,,80.0,0.875,2.3439563610046443,1.0,0.75,0.5535998869687319,-0.9999999999999999,0.7979324641351528,0.0,1.1920928955078126e-08,4.505371555912401,6.1901359782506455,18,10.0,0.125,0.125,0.0,0.45015322894282833,0.353515625,80.0,0.875
1777188071.0675137,0.023139551281929016,trivial,0.00801132924228849,20,458.799505283,,80.0,0.625,1.7514594679556275,1.0,0.75,0.5784888107329607,2.064751080011144,0.9260393313052263,0.0,-3.7252902984619143e-10,4.5467745173021425,6.1901359782506455,19,10.0,0.0,0.0,0.0,0.4824680082955038,0.34765625,80.0,1.0
1777188095.831954,0.022877860814332962,trivial,0.004079283793244284,21,483.564001328,,80.0,0.75,2.4327570854848113,1.0,0.75,0.5719463596120477,-0.9999999999999999,0.8087829836415987,0.0,1.4901161193847657e-09,4.299693419745831,6.1901359782506455,20,10.0,0.125,0.125,0.0,0.4607571948911823,0.328125,80.0,0.875
1777188119.5157595,0.02459278516471386,trivial,0.00565907089090797,22,507.247730604,,80.0,0.25,1.3310780495918995,1.0,0.625,0.6148200292140246,2.064751080011144,0.9331843804654021,0.0,-1.3783574104309083e-08,3.5040856462187757,5.8836072300661595,21,10.0,0.0,0.0,0.0,0.4793053269706704,0.3515625,80.0,1.0
1777188143.1081252,0.0236755833029747,trivial,0.005947886396493775,23,530.840147914,,80.0,0.75,1.5140205554905535,1.0,0.875,0.5918896097689867,2.064751080011144,0.9135104739691199,0.0,-5.215406417846679e-09,5.054192447976205,6.1901359782506455,22,10.0,0.0,0.0,0.0,0.5099004128627707,0.625,80.0,1.0
1777188167.708165,0.02455299012362957,trivial,0.004374786528036824,24,555.440019313,,80.0,0.75,1.333466768742395,1.0,0.875,0.6138248538598419,2.8937423652008736,0.9027397270250898,0.0,-2.9802322387695314e-09,5.173583177393128,6.1901359782506455,23,10.0,0.0,0.0,0.0,0.5297018768693346,1.1015625,80.0,1.0
1777188191.8657842,0.024696330726146697,trivial,0.004772094212775217,25,579.597740397,,80.0,0.5,1.48230948798233,1.0,0.75,0.6174082417041064,2.5692858681270585,0.9153264228417844,0.0,0.0,4.190979854670344,6.147483591005134,24,10.0,0.0,0.0,0.0,0.49317369130023264,1.046875,80.0,1.0
