_runtime,_timestamp,_wandb,system.cpu,system.disk./.usageGB,system.disk./.usagePercent,system.disk.md127.in,system.disk.md127.out,system.gpu.0.correctedMemoryErrors,system.gpu.0.enforcedPowerLimitWatts,system.gpu.0.gpu,system.gpu.0.memory,system.gpu.0.memoryAllocated,system.gpu.0.memoryAllocatedBytes,system.gpu.0.memoryClock,system.gpu.0.powerPercent,system.gpu.0.powerWatts,system.gpu.0.smClock,system.gpu.0.temp,system.gpu.0.uncorrectedMemoryErrors,system.memory_percent,system.network.recv,system.network.sent,system.proc.cpu.threads,system.proc.memory.availableMB,system.proc.memory.percent,system.proc.memory.rssMB
15.472913396,1777187627.2708113,True,,,,,,0.0,700.0,34.0,5.0,2.547714768625105,3840802816.0,3201.0,22.808,159.656,1980.0,43.0,0.0,,,,,,,
15.476909226,1777187627.2748072,True,1.3068051590629615,900.9268074035645,3.182451802928673,0.0,165.65234375,,,,,,,,,,,,,3.129606053825308,17426717.0,241070.0,280.0,1983868.1875,0.1088950702775404,2230.12890625
30.472203422,1777187642.2701013,True,,,,,,0.0,700.0,30.0,4.0,2.5491058697512017,3842899968.0,3201.0,22.575,158.025,1980.0,43.0,0.0,,,,,,,
30.473685571,1777187642.2715836,True,1.2484680253746618,900.9273109436035,3.1824535816435384,0.0,209.3310546875,,,,,,,,,,,,,3.132507376643306,17522856.0,327730.0,280.0,1983808.76953125,0.111608134228839,2285.69140625
45.472689162,1777187657.2705872,True,,,,,,0.0,700.0,16.0,2.0,2.5491058697512017,3842899968.0,3201.0,21.427714285714288,149.994,1980.0,43.0,0.0,,,,,,,
45.474385131,1777187657.272283,True,1.2127268373029054,900.9270057678223,3.182452503634529,0.0,330.1708984375,,,,,,,,,,,,,3.1311363485441825,17636395.0,446367.0,280.0,1983836.84765625,0.11163025989098399,2286.14453125
60.472444639,1777187672.2703426,True,,,,,,0.0,700.0,36.0,5.0,2.5491058697512017,3842899968.0,3201.0,22.77414285714286,159.419,1980.0,43.0,0.0,,,,,,,
60.473851582,1777187672.2717495,True,1.1866577465006254,900.9269866943359,3.182452436258966,0.0,451.19970703125,,,,,,,,,,,,,3.130055242914545,17802737.0,613531.0,280.0,1983858.98828125,0.11163197653718492,2286.1796875
75.471973838,1777187687.269872,True,,,,,,0.0,700.0,29.0,4.0,2.5491058697512017,3842899968.0,3201.0,22.83657142857143,159.856,1980.0,43.0,0.0,,,,,,,
75.473530532,1777187687.2714286,True,1.1677643917660578,900.926441192627,3.1824505093178614,0.0,584.05126953125,,,,,,,,,,,,,3.1307398032717733,17881011.0,695133.0,280.0,1983844.96875,0.11163941533738884,2286.33203125
90.472550526,1777187702.2704484,True,,,,,,0.0,700.0,19.0,2.0,2.5491058697512017,3842899968.0,3201.0,21.270714285714288,148.895,1980.0,43.0,0.0,,,,,,,
90.474587604,1777187702.2724855,True,1.152884859665913,900.9232177734375,3.1824391228476987,0.0,2201.0166015625,,,,,,,,,,,,,3.130849668628631,17982179.0,799975.0,280.0,1983842.71875,0.1116413227220565,2286.37109375
105.472383878,1777187717.2702818,True,,,,,,0.0,700.0,39.0,5.0,2.5491058697512017,3842899968.0,3201.0,22.565428571428573,157.958,1980.0,43.0,0.0,,,,,,,
105.474234025,1777187717.272132,True,1.1408417489902498,900.9229774475098,3.182438273915604,0.0,2201.7431640625,,,,,,,,,,,,,3.131941074135474,18150480.0,968955.0,280.0,1983820.3671875,0.1116418949374568,2286.3828125
120.472691688,1777187732.2705896,True,,,,,,0.0,700.0,31.0,4.0,2.5491058697512017,3842899968.0,3201.0,22.464,157.248,1980.0,43.0,0.0,,,,,,,
120.47422397,1777187732.272122,True,1.1313556970963805,900.922721862793,3.1824373710830587,0.0,2203.2939453125,,,,,,,,,,,,,3.1312168401771583,18227741.0,1049418.0,280.0,1983835.19921875,0.11164227641439035,2286.390625
135.472962027,1777187747.27086,True,,,,,,0.0,700.0,16.0,3.0,2.5491058697512017,3842899968.0,3201.0,21.38957142857143,149.727,1980.0,43.0,0.0,,,,,,,
135.474211996,1777187747.27211,True,1.123155984991536,900.9227409362793,3.182437438458622,0.0,2204.1142578125,,,,,,,,,,,,,3.1294647166214338,18323403.0,1148386.0,280.0,1983871.08203125,0.11164265789132388,2286.3984375
150.472007667,1777187762.2699056,True,,,,,,0.0,700.0,18.0,2.0,2.5491058697512017,3842899968.0,3201.0,22.011,154.077,1980.0,43.0,0.0,,,,,,,
150.473706631,1777187762.2716045,True,1.1158982732271012,900.9232292175293,3.182439163273037,0.0,2205.4169921875,,,,,,,,,,,,,3.130576721882687,18495763.0,1321510.0,280.0,1983848.30859375,0.11164323010672418,2286.41015625
165.472709304,1777187777.2706072,True,,,,,,0.0,700.0,36.0,5.0,2.550496970877298,3844997120.0,3201.0,22.392714285714284,156.749,1980.0,43.0,0.0,,,,,,,
165.474296566,1777187777.2721946,True,1.1101135004921001,900.9308738708496,3.182466167398724,0.0,2206.2490234375,,,,,,,,,,,,,3.132603508830557,18580478.0,1409473.0,280.0,1983806.80078125,0.11164361158365772,2286.41796875
180.472753374,1777187792.2706513,True,,,,,,0.0,700.0,16.0,2.0,2.550496970877298,3844997120.0,3201.0,21.930714285714284,153.515,1980.0,43.0,0.0,,,,,,,
180.474067618,1777187792.2719655,True,1.1051017878127072,900.9386177062988,3.1824935218773396,0.0,2207.623046875,,,,,,,,,,,,,3.1290584436872186,18668366.0,1500640.0,280.0,1983879.40234375,0.11164380232212448,2286.421875
195.472494555,1777187807.2703927,True,,,,,,0.0,700.0,30.0,4.0,2.550496970877298,3844997120.0,3201.0,22.883714285714287,160.186,1980.0,43.0,0.0,,,,,,,
195.474295586,1777187807.2721937,True,1.1003668033819962,900.9386367797852,3.182493589252902,0.0,2208.408203125,,,,,,,,,,,,,3.130353367138103,18839434.0,1672406.0,280.0,1983852.8828125,0.11164418379905802,2286.4296875
210.47192236,1777187822.2698205,True,,,,,,0.0,700.0,37.0,5.0,2.550496970877298,3844997120.0,3201.0,22.590285714285717,158.132,1980.0,43.0,0.0,,,,,,,
210.473603497,1777187822.2715015,True,1.096557586469169,900.9386444091797,3.1824936162031277,0.0,2210.03515625,,,,,,,,,,,,,3.130443014217483,18914282.0,1750700.0,280.0,1983851.046875,0.11164704487605953,2286.48828125
225.472942537,1777187837.2708406,True,,,,,,0.0,700.0,17.0,2.0,2.550496970877298,3844997120.0,3201.0,21.13471428571429,147.943,1980.0,43.0,0.0,,,,,,,
225.47435177,1777187837.2722497,True,1.0929732617154315,900.938663482666,3.18249368357869,0.0,2210.67578125,,,,,,,,,,,,,3.1303024399674757,19012827.0,1852594.0,280.0,1983853.92578125,0.11164704487605953,2286.48828125
240.472861426,1777187852.2707593,True,,,,,,0.0,700.0,40.0,5.0,2.550496970877298,3844997120.0,3201.0,23.063285714285715,161.443,1980.0,44.0,0.0,,,,,,,
240.474398515,1777187852.2722964,True,1.0896943255086544,900.9384269714355,3.1824928481217083,0.0,2211.83056640625,,,,,,,,,,,,,3.1290950654728387,19174266.0,2014624.0,280.0,1983878.65234375,0.11164723561452629,2286.4921875
255.472862751,1777187867.2707608,True,,,,,,0.0,700.0,37.0,5.0,2.550496970877298,3844997120.0,3201.0,22.747,159.229,1980.0,43.0,0.0,,,,,,,
