reward_component/docking,step,reward_component/sa,_step,invalid_action_rate,loss,episode/mean_length,reward_component/toxicity_clean,_runtime,n_transitions,max_reward,policy_loss,min_reward,episode/diversity_unique_pct,grad_norm,difficulty,kl,verifier/truncation_rate,action_type/ADD_FRAGMENT,mean_reward,reward_component/qed,action_type/SUBSTITUTE_ATOM,verifier/lipinski_pass_rate,reward_std,parse_rate,verifier/invalid_action_rate,_timestamp,verifier/parse_rate,samples/episode_outcomes,action_type/REMOVE_FRAGMENT
0.003802282048364207,0,0.8878334327223992,0,0.7,-7.078051567077636e-09,10.0,1.0,97.776247586,80.0,7.525481543535018,-7.078051567077636e-09,3.758129985746294,1.0,0.1044921875,trivial,0.0,1.0,75.0,5.416605185848513,0.5966605185848513,5.0,1.0,1.0363456112822966,1.0,0.7,1777179221.6931977,1.0,,
,0,,1,,,,,98.565361684,,,,,,,,,,,,,,,,,,1777179222.482872,,"{'_latest_artifact_path': 'wandb-client-artifact://ixhojnnow92y5k0c1m0j5jq3kyty3qhfqj34zk2wybx14tr3hkfmb9g8yj2wb5ickbuvsrndhcs9y338vgm7a1nn9ihs8qp91wjo5voz6svmg854eoxc60iozwb24rnw:latest/samples/episode_outcomes.table.json', '_type': 'table-file', 'path': 'media/table/samples/episode_outcomes_1_b81c680cacc4959d400c.table.json', 'size': 880, 'nrows': 8, 'log_mode': 'IMMUTABLE', 'ncols': 8, 'sha256': 'b81c680cacc4959d400caab925dcb1b24281c7a44eac0a4638c542d0adafe23f', 'artifact_path': 'wandb-client-artifact://gqajg00mbk0abp4hbhh2c6bwtb51p1ykcy5686am1k7zrlyk7qvrqj31bal82znmxkpnvvnyuw6ue68y5vly120gevjafpjitmt2hajdzds26gylizjcwbf7ha9p4zh1/samples/episode_outcomes.table.json'}",
0.0037743095497248104,1,0.7774065606176381,2,0.6875,3.0372291803359984e-06,10.0,1.0,194.078200956,80.0,7.4122850931896345,-1.993030309677124e-08,3.436333078362308,1.0,0.1513671875,trivial,7.640494058023251e-05,1.0,69.0,5.348619311225374,0.5879869311225373,10.0,1.0,1.390607237900087,1.0,0.6875,1777179317.9952757,1.0,,1.0
0.003831235918068399,2,0.6119554907042998,3,0.825,2.461206167936325e-06,10.0,0.75,289.814889643,80.0,6.231855240392497,1.0896474123001098e-08,-0.9999999999999999,0.875,0.06689453125,trivial,6.083084985419873e-05,1.0,75.0,3.4799016114369556,0.42174016114369556,5.0,1.0,2.6649985870983808,1.0,0.825,1777179413.731975,1.0,,
0.00179939234910261,3,0.7490879183698111,4,0.75,4.957383498549461e-06,10.0,0.875,383.888252275,80.0,6.42562171622616,1.0710209608078002e-09,-0.9999999999999999,0.875,0.07958984375,trivial,0.0001237957557975733,1.0,74.0,4.4947265007448385,0.5119726500744839,6.0,1.0,2.2826518998085232,1.0,0.75,1777179507.8053749,1.0,,
0.004501910796394829,4,0.7576016683330938,5,0.8,2.465769648551941e-06,10.0,0.875,478.948687198,80.0,6.410019952890261,-1.257285475730896e-08,-0.9999999999999999,0.875,0.08154296875,trivial,6.208579681015181e-05,1.0,77.0,3.9766544409554982,0.4676654440955498,2.0,1.0,2.053471705207786,1.0,0.8,1777179602.8657675,1.0,,1.0
0.003793939369625504,5,0.8109695611901202,6,0.625,4.747509956359864e-06,10.0,1.0,572.407665368,80.0,7.470548568068013,-1.4901161193847657e-09,4.264396030878579,1.0,0.09765625,trivial,0.00011876385608324824,1.0,74.0,5.413043414421799,0.5850543414421799,6.0,1.0,1.1077662809432276,1.0,0.625,1777179696.324539,1.0,,
0.0045175852240455444,6,0.7709944414849568,7,0.7000000000000001,5.816668272018433e-06,10.0,1.0,667.766737073,80.0,5.2560353942850755,4.936009645462036e-09,2.5080628608002264,1.0,0.09375,trivial,0.00014538030570818706,1.0,74.0,4.453612569628051,0.5003612569628051,6.0,1.0,0.8087052812135492,1.0,0.7000000000000001,1777179791.6838727,1.0,,
0.0036229094977219566,7,0.7448129519402856,8,0.6875,6.4177438616752625e-06,10.0,0.875,762.221153358,80.0,6.1890880843683505,-8.009374141693115e-09,-0.9999999999999999,1.0,0.1025390625,trivial,0.0001605959254618483,1.0,76.0,4.295333326316745,0.48265833263167446,4.0,1.0,2.3276902130434074,1.0,0.6875,1777179886.1383123,1.0,,
0.0028229516334705505,8,0.7286319134183271,9,0.65,5.06421783939004e-06,10.0,0.875,857.965995908,80.0,5.765577883029767,3.632158041000366e-09,-0.9999999999999999,1.0,0.05712890625,trivial,0.00012686369788070806,1.0,74.0,3.4800006840602054,0.39550006840602053,5.0,1.0,1.9185874964595826,1.0,0.65,1777179981.8831155,1.0,,1.0
0.0027631198566679107,9,0.7325854974250259,10,0.725,4.302524030208588e-06,10.0,0.875,953.956388969,80.0,7.367060229560106,-5.587935447692871e-10,-0.9999999999999999,1.0,0.091796875,trivial,0.00010758523776175367,1.0,78.0,4.204321228853387,0.4791821228853387,2.0,1.0,2.200020146941094,1.0,0.725,1777180077.8735383,1.0,,
0.005900100158323231,10,0.8546830311877005,11,0.6875,5.0336122512817385e-06,10.0,1.0,1048.954693275,80.0,6.495095631360228,-1.6763806343078613e-08,1.8799194679083397,1.0,0.08642578125,trivial,0.00012610279752394148,1.0,74.0,4.8138845181421335,0.5345134518142133,6.0,1.0,1.490653511356121,1.0,0.6875,1777180172.8717427,1.0,,
0.003752215096065621,11,0.6198269968793849,12,0.8125,3.5072676837444306e-06,10.0,0.75,1145.574877353,80.0,6.3220809900387795,-2.5890767574310303e-08,-0.9999999999999999,0.875,0.0888671875,trivial,8.839971397236467e-05,1.0,77.0,3.1463380631371924,0.38650880631371926,3.0,1.0,2.5415951907629535,1.0,0.8125,1777180269.4919744,1.0,,
0.00417744110359344,12,0.8604030089885288,13,0.6875,5.385652184486389e-06,10.0,1.0,1240.830577467,80.0,6.3220809900387795,2.4214386940002442e-09,3.4151763786980034,1.0,0.0751953125,trivial,0.00013445805353455852,1.0,73.0,4.971829873652312,0.5503079873652311,6.0,1.0,0.791077746436934,1.0,0.6875,1777180364.7477334,1.0,,1.0
0.003675426745000134,13,0.8154131275062058,14,0.5375,7.207691669464111e-06,10.0,1.0,1334.70466374,80.0,8.413354813486713,-1.0058283805847169e-08,4.753979586363105,1.0,0.1162109375,trivial,0.00018047618022194457,1.0,68.0,6.430867331192957,0.6737117331192957,11.0,1.0,1.1228101452359158,1.0,0.5375,1777180458.621771,1.0,,1.0
0.003470418420799675,14,0.7838126921377612,15,0.7875,5.1853246986865996e-06,10.0,0.875,1431.045398226,80.0,7.367060229560106,-1.6763806343078614e-09,-0.9999999999999999,1.0,0.0830078125,trivial,0.00012936697382244234,1.0,77.0,4.3460641698915765,0.5027314169891576,3.0,1.0,2.302698572075236,1.0,0.7875,1777180554.9623396,1.0,,
0.004232704424156036,15,0.7522399936190935,16,0.8125,6.803032010793686e-06,10.0,0.875,1526.570375493,80.0,7.698483262831041,-6.053596735000611e-10,-0.9999999999999999,0.875,0.05712890625,trivial,0.00017036658993561105,1.0,77.0,4.706378426503805,0.5425128426503804,3.0,1.0,2.4689696767244573,1.0,0.8125,1777180650.4875693,1.0,,
0.005416331703297026,16,0.8551950182855244,17,0.7125,5.877987132407725e-06,10.0,1.0,1622.186717392,80.0,6.583409123722761,-5.332403816282749e-08,4.24131646243859,1.0,0.1357421875,trivial,0.00014843500552501608,1.0,75.0,5.331585363275798,0.5900335363275798,5.0,1.0,0.8869755378576095,1.0,0.7125,1777180746.1038873,1.0,,
0.003572931027636243,17,0.6997135021274906,18,0.75,5.927076563239097e-06,10.0,0.875,1717.565313351,80.0,7.367060229560106,-6.565824151039123e-09,-0.9999999999999999,1.0,0.072265625,trivial,0.00014822913378225165,1.0,78.0,4.714313138779624,0.5339313138779624,2.0,1.0,2.4371315610959328,1.0,0.75,1777180841.4824502,1.0,,
0.006412892378926321,18,0.8159641631248133,19,0.6875,6.746995495632291e-06,10.0,1.0,1813.891333436,80.0,6.240889444885259,-8.335337042808532e-09,0.7304899333855825,0.875,0.138671875,trivial,0.00016892572511402194,1.0,71.0,4.202976731628621,0.4850537973301819,9.0,0.875,1.4968493985320697,1.0,0.6875,1777180937.8082294,1.0,,
0.0040806042071112,19,0.8429373157220683,20,0.725,9.37924487516284e-06,10.0,1.0,1910.707645254,80.0,7.367060229560106,9.313225746154785e-10,2.6484131148159626,1.0,0.142578125,trivial,0.00023445290631798343,1.0,76.0,4.562619217412543,0.5150119217412543,4.0,1.0,1.6196269905441558,1.0,0.725,1777181034.6238549,1.0,,
0.004015721498034241,20,0.8130623463158225,21,0.625,1.082136295735836e-05,10.0,1.0,2006.262569256,80.0,7.4969224207315595,1.802109181880951e-08,2.2019396104441205,1.0,0.08154296875,trivial,0.00026990907532820074,1.0,71.0,4.816326847010256,0.5253826847010256,9.0,1.0,1.8179206049130863,1.0,0.625,1777181130.1796877,1.0,,
0.004075105710006019,21,0.8064635421240106,22,0.625,1.2018624693155288e-05,10.0,1.0,2100.89190921,80.0,5.983351344747548,-3.3527612686157227e-09,3.917121315284301,1.0,0.07275390625,trivial,0.00030047075047718864,1.0,79.0,4.8751226464550275,0.5312622646455027,1.0,1.0,0.6606256561666359,1.0,0.625,1777181224.8089712,1.0,,
0.002470627977543171,22,0.5812029737639672,23,0.6875,8.03433358669281e-06,10.0,0.75,2196.628175315,80.0,7.309736812279842,2.1979212760925294e-08,-0.9999999999999999,0.875,0.10595703125,trivial,0.00020041243477066927,1.0,76.0,3.781241139446985,0.4312491139446985,4.0,1.0,2.8824765790010205,1.0,0.6875,1777181320.5440226,1.0,,
0.003932954380435633,23,0.695030794522635,24,0.775,9.847944602370262e-06,10.0,0.875,2292.885904525,80.0,7.071962799487322,1.8347054719924926e-08,-0.9999999999999999,1.0,0.060546875,trivial,0.0002457522160455028,1.0,76.0,4.747057560439502,0.5409557560439501,3.0,1.0,2.384154417023012,1.0,0.775,1777181416.8028202,1.0,,1.0
0.00586291533422916,24,0.7125450842362157,25,0.5375,1.2297555804252624e-05,10.0,0.875,2386.636088962,80.0,7.367060229560108,1.601874828338623e-08,-0.9999999999999999,1.0,0.07421875,trivial,0.00030698177976091757,1.0,76.0,5.242850849766796,0.5555350849766796,3.0,1.0,2.457973928090951,1.0,0.5375,1777181510.5531845,1.0,,1.0
0.00466271404304308,25,0.6945006644479802,26,0.7375,8.4748025983572e-06,10.0,0.875,2482.722095876,80.0,5.982498942725327,1.778826117515564e-08,-0.9999999999999999,1.0,0.06884765625,trivial,0.00021170164158803572,1.0,73.0,3.928917712230899,0.4535167712230898,7.0,1.0,2.051919800672893,1.0,0.7375,1777181606.6391098,1.0,,
,25,,27,,,,,2484.09655493,,,,,,,,,,,,,,,,,,1777181608.014389,,"{'artifact_path': 'wandb-client-artifact://3l1ypr3ha5j2m9e55th444z3cm7z4yh3k716ffrn3kzbp2el6hu3cnet6vwlizyer47qnfrtn0stknxe1y5cdzgl5x1u1l8n4of98o3p9290kx481qo2f2wmh8po752f/samples/episode_outcomes.table.json', 'path': 'media/table/samples/episode_outcomes_27_0aae13d721d4810f12b2.table.json', '_latest_artifact_path': 'wandb-client-artifact://l70uersd7nfstwxlhdvgd2od58esftx7aro2b87577nlm306zmgo8gfddcj0os3100756kvpvxv8w6fgbe2e15rzc82u8w1hnw5cyc5ixkqm209llqok6bol5f9i1kf9:latest/samples/episode_outcomes.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 8, 'size': 855, 'nrows': 8, 'sha256': '0aae13d721d4810f12b2948cba0f86d315c8e815966918cc31f2c0cefd29ee96'}",
0.003483591676340014,26,0.6822631404464796,28,0.6875,1.0824576020240783e-05,10.0,0.875,2579.211873855,80.0,6.1890880843683505,2.37487256526947e-09,-0.9999999999999999,0.875,0.07080078125,trivial,0.00027076975668478555,1.0,76.0,4.379806799217334,0.49110567992173343,3.0,1.0,2.1203160507535244,1.0,0.6875,1777181703.129009,1.0,,1.0
