_runtime,_timestamp,_wandb,system.gpu.0.correctedMemoryErrors,system.gpu.0.enforcedPowerLimitWatts,system.gpu.0.fanSpeed,system.gpu.0.gpu,system.gpu.0.memory,system.gpu.0.memoryAllocated,system.gpu.0.memoryAllocatedBytes,system.gpu.0.memoryClock,system.gpu.0.powerPercent,system.gpu.0.powerWatts,system.gpu.0.smClock,system.gpu.0.temp,system.gpu.0.uncorrectedMemoryErrors,system.cpu,system.disk./.usageGB,system.disk./.usagePercent,system.disk.md127.in,system.disk.md127.out,system.memory_percent,system.network.recv,system.network.sent,system.proc.cpu.threads,system.proc.memory.availableMB,system.proc.memory.percent,system.proc.memory.rssMB
270.44231008,1777179393.91945,True,,,,,,,,,,,,,,4.541111560224797,105.24238967895508,2.975326249842405,0.0,10857.4814453125,8.034077193535381,1830657.0,626502.0,64.0,175809.83203125,1.3358412381880802,2553.70703125
285.442452609,1777179408.9195926,True,0.0,300.0,0.0,66.0,39.0,30.040874153204793,7253852160.0,6251.0,65.27566666666667,195.827,1710.0,55.0,0.0,,,,,,,,,,,,
285.443055583,1777179408.9201956,True,,,,,,,,,,,,,,4.5231892100984625,105.2424087524414,2.9753267890723167,0.0,10857.5048828125,8.045718186537217,1839123.0,630613.0,64.0,175787.578125,1.3359270590948868,2553.87109375
300.442779789,1777179423.9199197,True,0.0,300.0,0.0,57.0,37.0,30.040874153204793,7253852160.0,6251.0,51.22633333333333,153.679,1710.0,52.0,0.0,,,,,,,,,,,,
300.443643248,1777179423.9207833,True,,,,,,,,,,,,,,4.50475314801084,105.24238967895508,2.975326249842405,0.0,10857.68115234375,8.309815680395097,1925880.0,657969.0,64.0,175282.70703125,1.3359372758695067,2553.890625
315.441861179,1777179438.919001,True,0.0,300.0,0.0,57.0,44.0,30.040874153204793,7253852160.0,6251.0,51.31400000000001,153.942,1710.0,51.0,0.0,,,,,,,,,,,,
315.442934844,1777179438.920075,True,,,,,,,,,,,,,,4.487573318289946,105.2424087524414,2.9753267890723167,0.0,10857.71240234375,8.31946644570099,2040025.0,696649.0,64.0,175264.2578125,1.3359393192244309,2553.89453125
330.442907025,1777179453.920047,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,50.401999999999994,151.206,1710.0,51.0,0.0,,,,,,,,,,,,
330.443410667,1777179453.9205506,True,,,,,,,,,,,,,,4.47168813425373,105.24238967895508,2.975326249842405,0.0,10857.91552734375,8.307202229447345,2160133.0,734359.0,64.0,175287.703125,1.3359393192244309,2553.89453125
345.442546274,1777179468.9196863,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,48.109,144.327,1710.0,50.0,0.0,,,,,,,,,,,,
345.442989874,1777179468.9201298,True,,,,,,,,,,,,,,4.457415265300811,105.2424087524414,2.9753267890723167,0.0,10857.94287109375,8.317790894663338,2274583.0,770478.0,64.0,175267.4609375,1.3359393192244309,2553.89453125
360.442843323,1777179483.9199834,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,51.94,155.82,1710.0,51.0,0.0,,,,,,,,,,,,
360.443081319,1777179483.9202213,True,,,,,,,,,,,,,,4.4438057141939105,105.24238967895508,2.975326249842405,0.0,10858.15771484375,8.318910653161671,2392766.0,808148.0,64.0,175265.3203125,1.3359393192244309,2553.89453125
375.44245903,1777179498.919599,True,0.0,300.0,0.0,67.0,41.0,30.040874153204793,7253852160.0,6251.0,64.461,193.383,1710.0,55.0,0.0,,,,,,,,,,,,
375.442975712,1777179498.9201157,True,,,,,,,,,,,,,,4.432949571937507,105.24243545532227,2.9753275439941937,0.0,10858.22021484375,8.302453472604046,2427344.0,820154.0,64.0,175296.78125,1.3359434059342787,2553.90234375
390.443290309,1777179513.9204304,True,,,,,,,,,,,,,,4.422664330228273,105.24642944335938,2.9754404587378125,0.0,10860.9140625,8.306307239990646,2474379.0,835531.0,64.0,175289.4140625,1.3359434059342787,2553.90234375
390.443447763,1777179513.9205878,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,49.25566666666666,147.767,1710.0,52.0,0.0,,,,,,,,,,,,
405.442835919,1777179528.919976,True,0.0,300.0,0.0,60.0,47.0,30.040874153204793,7253852160.0,6251.0,49.76466666666667,149.294,1710.0,51.0,0.0,,,,,,,,,,,,
405.44333603,1777179528.920476,True,,,,,,,,,,,,,,4.411560469558964,105.24645233154297,2.975441105813707,0.0,10861.171875,8.32675100600493,2595545.0,876142.0,64.0,175250.33203125,1.3359454492892024,2553.90625
420.442315479,1777179543.9194555,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,49.425666666666665,148.277,1710.0,51.0,0.0,,,,,,,,,,,,
420.44325931,1777179543.9203994,True,,,,,,,,,,,,,,4.40147376358767,105.24642181396484,2.9754402430458473,0.0,10861.53271484375,8.30553689518431,2709666.0,911953.0,64.0,175290.88671875,1.3359454492892024,2553.90625
435.442495434,1777179558.9196355,True,0.0,300.0,0.0,59.0,45.0,30.040874153204793,7253852160.0,6251.0,48.175000000000004,144.525,1710.0,50.0,0.0,,,,,,,,,,,,
435.442992555,1777179558.9201326,True,,,,,,,,,,,,,,4.391949006753824,105.24644088745117,2.9754407822757596,0.0,10861.63037109375,8.305933306039561,2830422.0,949767.0,64.0,175290.12890625,1.3359474926441266,2553.91015625
450.443238821,1777179573.920379,True,,,,,,,,,,,,,,4.38318703998835,105.24505233764648,2.97540152633815,0.0,10862.80126953125,8.294075717415783,2947671.0,987669.0,64.0,175312.796875,1.3359474926441266,2553.91015625
450.443329243,1777179573.9204693,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,50.373000000000005,151.119,1710.0,51.0,0.0,,,,,,,,,,,,
465.442092916,1777179588.9192328,True,0.0,300.0,0.0,67.0,40.0,30.040874153204793,7253852160.0,6251.0,65.54466666666666,196.634,1710.0,54.0,0.0,,,,,,,,,,,,
465.442633619,1777179588.9197736,True,,,,,,,,,,,,,,4.375634756080064,105.24507141113281,2.9754020655680624,0.0,10862.88330078125,8.302903010687318,3016766.0,1009742.0,64.0,175295.921875,1.3359720129032142,2553.95703125
480.442656917,1777179603.919797,True,0.0,300.0,0.0,59.0,39.0,30.040874153204793,7253852160.0,6251.0,50.47166666666666,151.415,1710.0,54.0,0.0,,,,,,,,,,,,
480.443719712,1777179603.9208598,True,,,,,,,,,,,,,,4.369165324520681,105.24601364135742,2.975428703525726,0.0,10862.98974609375,8.299523301643077,3030666.0,1015105.0,64.0,175302.3828125,1.3359720129032142,2553.95703125
495.442432311,1777179618.9195724,True,0.0,300.0,0.0,58.0,45.0,30.040874153204793,7253852160.0,6251.0,49.769666666666666,149.309,1710.0,51.0,0.0,,,,,,,,,,,,
495.442903362,1777179618.9200435,True,,,,,,,,,,,,,,4.361810565179019,105.24742126464844,2.9754684986932474,0.0,10863.11083984375,8.298634442251153,3144323.0,1053688.0,64.0,175304.08203125,1.3359720129032142,2553.95703125
510.441957189,1777179633.9190972,True,0.0,300.0,0.0,58.0,45.0,30.040874153204793,7253852160.0,6251.0,50.463333333333324,151.39,1710.0,50.0,0.0,,,,,,,,,,,,
510.442684736,1777179633.9198248,True,,,,,,,,,,,,,,4.3547059287018675,105.24740219116211,2.975467959463335,0.0,10863.18896484375,8.304402833201511,3265004.0,1091396.0,64.0,175293.0546875,1.3359720129032142,2553.95703125
525.441973048,1777179648.9191132,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,48.66866666666667,146.006,1710.0,50.0,0.0,,,,,,,,,,,,
525.442279595,1777179648.9194195,True,,,,,,,,,,,,,,4.348061183641892,105.24767684936523,2.9754757243740713,0.0,10863.30615234375,8.320343044963371,3379115.0,1127309.0,64.0,175262.58203125,1.3359720129032142,2553.95703125
540.442943025,1777179663.920083,True,0.0,300.0,0.0,58.0,37.0,30.040874153204793,7253852160.0,6251.0,52.03966666666666,156.119,1710.0,51.0,0.0,,,,,,,,,,,,
540.443333374,1777179663.9204733,True,,,,,,,,,,,,,,4.34146304459825,105.24763870239258,2.9754746459142467,0.0,10863.470703125,8.310974262636986,3506454.0,1167143.0,64.0,175280.4921875,1.3359720129032142,2553.95703125
555.442370463,1777179678.9195104,True,0.0,300.0,0.0,61.0,41.0,30.040874153204793,7253852160.0,6251.0,64.82933333333332,194.488,1710.0,53.0,0.0,,,,,,,,,,,,
555.442964296,1777179678.9201043,True,,,,,,,,,,,,,,4.335568007760805,105.24817657470703,2.9754898521977715,0.0,10863.568359375,8.316409586734736,3607471.0,1199234.0,64.0,175270.1015625,1.335986316387682,2553.984375
570.441762324,1777179693.9189024,True,0.0,300.0,0.0,75.0,45.0,30.040874153204793,7253852160.0,6251.0,63.98066666666667,191.942,1710.0,55.0,0.0,,,,,,,,,,,,
570.442265416,1777179693.9194055,True,,,,,,,,,,,,,,4.331356532074566,105.24813842773438,2.9754887737379465,0.0,10863.7255859375,8.301016994092498,3608632.0,1200982.0,64.0,175299.52734375,1.3359883597426059,2553.98828125
585.442378459,1777179708.9195185,True,0.0,300.0,0.0,62.0,40.0,30.040874153204793,7253852160.0,6251.0,51.965,155.895,1710.0,52.0,0.0,,,,,,,,,,,,
585.442773128,1777179708.919913,True,,,,,,,,,,,,,,4.326124401061906,105.2481803894043,2.975489960043754,0.0,10863.8232421875,8.308035918256323,3708820.0,1232336.0,64.0,175286.109375,1.3359883597426059,2553.98828125
600.442976638,1777179723.9201167,True,0.0,300.0,0.0,61.0,39.0,30.040874153204793,7253852160.0,6251.0,51.949333333333335,155.848,1710.0,52.0,0.0,,,,,,,,,,,,
600.443286855,1777179723.9204268,True,,,,,,,,,,,,,,4.321008766253474,105.24816131591797,2.9754894208138416,0.0,10863.92529296875,8.296178329632545,3822822.0,1270994.0,64.0,175308.77734375,1.3359883597426059,2553.98828125
615.442425963,1777179738.919566,True,,,,,,,,,,,,,,4.315946491903389,105.24816131591797,2.9754894208138416,0.0,10864.03857421875,8.307612943787062,3937393.0,1306950.0,64.0,175286.91796875,1.3359883597426059,2553.98828125
615.44273316,1777179738.9198732,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,50.77966666666667,152.339,1710.0,50.0,0.0,,,,,,,,,,,,
630.442517778,1777179753.9196577,True,0.0,300.0,0.0,61.0,47.0,30.040874153204793,7253852160.0,6251.0,47.38733333333334,142.162,1710.0,50.0,0.0,,,,,,,,,,,,
630.442985148,1777179753.9201252,True,,,,,,,,,,,,,,4.311104537230613,105.24814224243164,2.9754888815839293,0.0,10864.15185546875,8.290501889653767,4058438.0,1344777.0,64.0,175319.62890625,1.3359883597426059,2553.98828125
645.44200805,1777179768.919148,True,0.0,300.0,0.0,60.0,47.0,30.040874153204793,7253852160.0,6251.0,48.57066666666666,145.712,1710.0,50.0,0.0,,,,,,,,,,,,
645.442582223,1777179768.9197223,True,,,,,,,,,,,,,,4.306668956012499,105.24816131591797,2.9754894208138416,0.0,10864.26123046875,8.301632043924611,4171782.0,1380307.0,64.0,175298.3515625,1.3359883597426059,2553.98828125
